No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4838, 0.0344, 0.4699, 0.0311, 0.451, 0.216, +----, 0.314, -0.213, -1.613, -28.072, 0.012, 0.591, 3.163, 51.494
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4986, 0.0416, 0.479, 0.0505, 0.515, 0.233, +-+-+, 0.252, 0.741, 2.569, 38.929, 0.012, 1.037, 5.254, 84.995
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5105, 0.0455, 0.4931, 0.0406, 0.452, 0.192, +-+++, 0.269, 0.44, 2.107, 37.743, 0.013, 0.859, 4.712, 80.306
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5133, 0.006, 0.4975, 0.02, 0.519, 0.222, +-+--, 0.218, 1.11, 3.62, 54.47, 0.013, 1.198, 5.469, 88.669
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5128, 0.0345, 0.4997, 0.0286, 0.467, 0.213, +--++, 0.242, 0.653, 2.723, 44.633, 0.014, 1.061, 5.164, 86.814
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4928, 0.0306, 0.4713, 0.0281, 0.544, 0.237, --+--, 0.217, 0.268, 2.487, 37.002, 0.014, 0.751, 5.046, 82.998
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.505, 0.0477, 0.4979, 0.0424, 0.447, 0.207, +++++, 0.27, 1.685, 4.53, 70.506, 0.013, 1.181, 5.698, 92.576
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5202, 0.0345, 0.4899, 0.0599, 0.597, 0.206, +-+++, 0.21, 1.584, 5.174, 88.874, 0.013, 1.397, 6.02, 101.76
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4948, 0.0456, 0.481, 0.0451, 0.5, 0.212, +++++, 0.263, 1.101, 3.825, 60.733, 0.013, 1.037, 5.345, 87.689
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5095, 0.0189, 0.5023, 0.0219, 0.456, 0.208, ++++-, 0.318, 0.821, 4.086, 61.095, 0.013, 0.742, 5.772, 92.968
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5013, 0.0326, 0.4727, 0.0543, 0.683, 0.279, ++--+, 0.129, 1.596, -0.708, -10.138, 0.013, 1.658, 3.376, 57.352
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5094, 0.0357, 0.4909, 0.0397, 0.514, 0.204, +-+++, 0.267, 1.226, 4.764, 75.577, 0.013, 1.147, 6.112, 100.21
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5115, 0.0334, 0.5043, 0.0285, 0.489, 0.222, ++++-, 0.286, 0.972, 4.493, 68.141, 0.014, 1.05, 5.904, 96.352
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4942, 0.0252, 0.4675, 0.0361, 0.767, 0.39, ----+, 0.124, 0.669, -2.336, -34.497, 0.014, 1.514, 2.489, 45.034
