No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5285, 0.0699, 0.5183, 0.0672, 0.405, 0.215, +-+++, 0.354, 1.49, 6.873, 116.24, 0.012, 1.685, 7.406, 123.65
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.531, 0.0575, 0.5147, 0.0655, 0.51, 0.225, +-+++, 0.277, 0.746, 6.471, 106.099, 0.012, 0.935, 7.204, 118.58
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5344, 0.0525, 0.5265, 0.0497, 0.414, 0.199, +-+++, 0.287, 1.17, 7.629, 122.596, 0.013, 1.403, 7.473, 122.733
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5424, 0.0467, 0.5297, 0.0576, 0.534, 0.257, +-+-+, 0.311, 0.846, 5.322, 84.937, 0.013, 1.1, 6.32, 103.903
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4673, 0.0297, 0.4524, 0.0235, 0.424, 0.206, +-+--, 0.268, -0.164, -1.985, -39.604, 0.014, 0.586, 2.81, 44.696
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5014, 0.0321, 0.4842, 0.0274, 0.542, 0.242, +-+--, 0.251, 0.553, 3.048, 43.318, 0.014, 1.254, 5.327, 86.157
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4974, 0.0391, 0.4864, 0.0368, 0.424, 0.193, +-++-, 0.3, 1.305, 5.473, 87.658, 0.013, 1.049, 6.17, 101.152
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5152, 0.0814, 0.4574, 0.1201, 0.765, 0.222, ---++, 0.124, 0.837, 0.946, 21.256, 0.013, 0.751, 3.906, 67.951
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4922, 0.054, 0.4767, 0.0554, 0.505, 0.196, +-+++, 0.278, 0.987, 2.853, 51.299, 0.013, 1.115, 4.86, 82.972
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4932, 0.0613, 0.4805, 0.0623, 0.445, 0.21, ++-++, 0.299, 1.143, -0.922, -14.243, 0.013, 1.043, 3.269, 55.299
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4825, 0.0282, 0.4235, 0.0613, 0.942, 0.348, +----, 0.081, 0.786, -2.256, -37.658, 0.013, 1.303, 2.601, 43.592
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5013, 0.0296, 0.4751, 0.035, 0.521, 0.226, +++++, 0.245, 1.04, 3.641, 62.484, 0.013, 0.917, 5.55, 93.663
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5403, 0.0449, 0.5319, 0.046, 0.463, 0.217, ++-++, 0.298, 1.28, 1.661, 27.715, 0.014, 1.165, 4.488, 76.14
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4739, 0.0404, 0.413, 0.0655, 0.939, 0.354, ----+, 0.081, 0.516, -3.004, -45.699, 0.014, 1.797, 2.155, 39.432
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5289, 0.0611, 0.5075, 0.0666, 0.555, 0.242, +--++, 0.257, 1.29, 0.216, 4.392, 0.014, 1.482, 3.765, 64.478
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5136, 0.0387, 0.5049, 0.0349, 0.413, 0.213, +-+++, 0.26, 1.603, 5.023, 85.713, 0.012, 1.551, 6.481, 108.386
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5286, 0.0241, 0.5116, 0.0398, 0.529, 0.228, +++++, 0.244, 1.319, 4.943, 78.024, 0.012, 1.201, 6.44, 104.542
