No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4986, 0.0325, 0.4443, 0.049, 0.566, 0.232, +-+++, 0.167, 1.032, 3.019, 54.867, 0.012, 1.293, 5.479, 92.964
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5111, 0.0467, 0.4757, 0.0701, 0.568, 0.228, -++++, 0.202, 1.184, 1.252, 20.114, 0.012, 1.132, 4.595, 75.587
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5132, 0.0318, 0.4673, 0.0698, 0.569, 0.219, --+++, 0.162, 1.169, 3.073, 54.646, 0.013, 1.156, 5.195, 88.757
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4893, 0.0381, 0.455, 0.0564, 0.59, 0.235, -----, 0.152, 1.255, -0.946, -15.823, 0.013, 1.239, 3.186, 53.523
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5071, 0.0271, 0.4566, 0.0633, 0.6, 0.243, --+-+, 0.162, 0.833, 1.454, 25.348, 0.014, 1.105, 4.53, 77.171
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.4928, 0.0371, 0.4499, 0.0444, 0.596, 0.23, ----+, 0.128, 0.526, -2.009, -31.123, 0.014, 1.2, 2.798, 48.936
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5025, 0.0486, 0.455, 0.075, 0.536, 0.201, -+++-, 0.172, 1.102, 2.845, 47.37, 0.013, 0.623, 4.855, 81.008
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.49, 0.0303, 0.4268, 0.0696, 0.752, 0.245, D+-++, 0.109, 1.036, -0.238, -2.406, 0.013, 0.756, 3.314, 56.12
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4924, 0.0504, 0.4565, 0.0546, 0.556, 0.202, ++-+-, 0.177, 1.041, -0.718, -14.641, 0.013, 0.915, 3.074, 50.002
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4879, 0.0284, 0.4413, 0.0456, 0.545, 0.199, +++--, 0.151, 1.121, 1.144, 13.59, 0.013, 1.101, 4.301, 69.216
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4905, 0.0282, 0.4419, 0.0563, 0.771, 0.286, ++--+, 0.105, 1.257, -1.466, -23.718, 0.013, 1.455, 2.997, 50.562
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4826, 0.0323, 0.4394, 0.0524, 0.575, 0.204, ++---, 0.154, 0.943, -1.159, -24.555, 0.013, 0.99, 3.15, 50.143
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5086, 0.0463, 0.4652, 0.0453, 0.606, 0.248, -++++, 0.191, 1.397, 3.631, 60.037, 0.014, 1.233, 5.473, 92.301
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.4798, 0.0459, 0.436, 0.0682, 0.839, 0.331, ----+, 0.139, 0.038, -3.204, -48.329, 0.014, 0.661, 2.055, 38.118
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5114, 0.057, 0.4774, 0.0728, 0.653, 0.31, ---++, 0.179, 1.272, 1.56, 29.792, 0.014, 1.219, 4.437, 77.178
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5012, 0.0331, 0.4494, 0.0628, 0.563, 0.195, D++++, 0.157, 1.093, 1.342, 26.69, 0.012, 0.986, 4.64, 78.875
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4912, 0.0466, 0.4519, 0.0704, 0.572, 0.233, -++++, 0.169, 1.357, 2.581, 41.512, 0.012, 1.234, 5.26, 86.286
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5026, 0.0313, 0.4569, 0.0624, 0.564, 0.208, +++-+, 0.136, 0.967, 1.47, 22.223, 0.013, 0.959, 4.394, 72.546
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4919, 0.0474, 0.4512, 0.0661, 0.563, 0.221, +++--, 0.141, 0.987, 1.015, 15.447, 0.013, 0.989, 4.166, 69.158
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5128, 0.0183, 0.4549, 0.0644, 0.629, 0.274, -+++-, 0.134, 1.244, 3.987, 63.597, 0.014, 1.146, 5.796, 96.296
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5043, 0.0291, 0.4608, 0.0513, 0.642, 0.286, ++-+-, 0.151, 1.479, 0.533, 8.379, 0.014, 1.588, 4.069, 68.687
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5363, 0.0399, 0.3487, 0.0172, 0.067, 0.001, UUUUU, 0.012, 0.551, 7.938, 131.06, 0.012, 0.551, 7.938, 131.06
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5313, 0.037, 0.3466, 0.016, 0.163, 0.052, U+U+U, 0.022, 0.619, 6.228, 101.776, 0.012, 0.609, 7.083, 116.418
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.5427, 0.0402, 0.3514, 0.0173, 0.067, 0.001, UUUUU, 0.013, 0.487, 7.318, 122.869, 0.013, 0.487, 7.318, 122.869
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.5401, 0.0394, 0.3765, 0.0496, 0.162, 0.049, U+++U, 0.035, 0.496, 7.249, 122.222, 0.013, 0.494, 7.283, 122.546
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.5471, 0.036, 0.3533, 0.0152, 0.066, 0.001, UUUUU, 0.014, 0.713, 7.606, 128.995, 0.014, 0.713, 7.606, 128.995
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.5414, 0.0374, 0.3908, 0.0495, 0.165, 0.054, U+++U, 0.04, 0.869, 10.241, 170.908, 0.014, 0.819, 8.923, 149.951
 1, ['Close_proc'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5355, 0.041, 0.3483, 0.0178, 0.067, 0.001, UUUUU, 0.013, 0.246, 6.866, 114.646, 0.013, 0.246, 6.866, 114.646
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5431, 0.0493, 0.3663, 0.0463, 0.16, 0.05, UU+UU, 0.023, 0.28, 7.459, 124.164, 0.013, 0.266, 7.162, 119.405
 1, ['Close_proc'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.5419, 0.0387, 0.3511, 0.0165, 0.066, 0.001, UUUUU, 0.013, 0.558, 7.459, 124.842, 0.013, 0.558, 7.459, 124.842
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.5528, 0.0448, 0.3761, 0.0438, 0.16, 0.055, +U+UU, 0.035, 0.68, 8.417, 139.471, 0.013, 0.622, 7.938, 132.156
 1, ['Close_proc'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.5435, 0.033, 0.3518, 0.014, 0.066, 0.001, UUUUU, 0.014, 0.628, 7.315, 124.564, 0.014, 0.628, 7.315, 124.564
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.5522, 0.0356, 0.372, 0.0318, 0.162, 0.056, +U+UU, 0.032, 0.735, 8.11, 136.589, 0.014, 0.683, 7.712, 130.577
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5355, 0.041, 0.3483, 0.0178, 0.067, 0.001, UUUUU, 0.013, 0.246, 6.866, 114.646, 0.013, 0.246, 6.866, 114.646
