No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.5086, 0.0364, 0.4967, 0.0336, 0.78, 0.3, 0.182, +--++, 0.645, -1.127, -15.399
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.5036, 0.0304, 0.4546, 0.0666, 0.771, 0.296, 0.12, X--+-, 0.784, -2.085, -35.768
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.492, 0.0594, 0.4272, 0.0676, 0.807, 0.255, 0.117, X-+--, 0.724, -0.235, -4.576
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.4441, 0.023, 0.3896, 0.0332, 0.791, 0.288, 0.16, X--+-, -0.176, -2.827, -43.751
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.5242, 0.0284, 0.5152, 0.0339, 0.834, 0.289, 0.168, +-++-, 0.986, 3.852, 61.564
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.4758, 0.0446, 0.3754, 0.0786, 0.78, 0.307, 0.063, XX-++, 0.165, -0.46, -1.959
 1, ['Close_proc'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4798, 0.0503, 0.3235, 0.0227, 0.754, 0.277, 0.013, XXXXX, -0.18, -0.876, -13.954
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4798, 0.0503, 0.3235, 0.0227, 0.755, 0.276, 0.013, XXXXX, -0.18, -0.876, -13.954
 1, ['Close_proc'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.477, 0.0409, 0.4161, 0.0851, 0.774, 0.286, 0.261, ++X--, 0.213, -3.783, -68.878
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.4879, 0.0558, 0.327, 0.0247, 0.768, 0.288, 0.013, XXXXX, 0.158, -0.218, -2.51
 1, ['Close_proc'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.5376, 0.045, 0.4682, 0.0898, 0.824, 0.366, 0.336, +++-+, 0.289, 5.719, 96.923
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.5174, 0.0518, 0.3402, 0.0228, 0.779, 0.309, 0.014, XXXXX, 0.522, 3.107, 57.125
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.5226, 0.0624, 0.511, 0.0563, 0.979, 0.346, 0.305, --++-, -0.063, -1.09, -18.198
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4922, 0.0485, 0.4753, 0.0566, 1.031, 0.484, 0.146, +--++, 0.342, -0.977, -12.31
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.495, 0.0376, 0.4297, 0.0917, 0.772, 0.274, 0.161, X+X-+, -0.266, -0.69, -12.041
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.5281, 0.0632, 0.5124, 0.0576, 1.054, 0.503, 0.342, +--++, 0.733, 1.487, 26.094
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.531, 0.0268, 0.501, 0.0421, 0.848, 0.26, 0.102, +-+++, 0.998, 4.019, 67.181
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.5257, 0.0531, 0.4325, 0.1094, 0.775, 0.288, 0.059, ++-XX, 1.133, 4.395, 74.982
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.5144, 0.0657, 0.4831, 0.0691, 1.091, 0.602, 0.315, +--+-, 0.332, 0.801, 11.833
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.523, 0.042, 0.4748, 0.0734, 0.828, 0.405, 0.063, ++++-, 1.217, 3.691, 56.026
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.4594, 0.0365, 0.3144, 0.017, 0.786, 0.305, 0.014, XXXXX, -0.251, -3.634, -52.111
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.5063, 0.0216, 0.4559, 0.0675, 1.158, 0.426, 0.179, X++-+, 0.435, 1.555, 24.312
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4787, 0.0467, 0.4413, 0.0627, 0.786, 0.314, 0.192, +--++, 0.164, -0.92, -8.835
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.5267, 0.0326, 0.4965, 0.0332, 1.104, 0.427, 0.194, ++-+-, 0.352, 0.463, 2.479
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.492, 0.0281, 0.4432, 0.0299, 0.808, 0.325, 0.189, +--+-, 0.725, 0.257, -1.582
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.4986, 0.0543, 0.4803, 0.0631, 1.161, 0.561, 0.171, -+-+-, 0.657, -3.194, -49.362
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.5012, 0.0556, 0.4279, 0.1014, 0.821, 0.366, 0.088, XX-+-, 0.218, -0.627, -8.129
 
