No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, mean_sharp_ratio, mean_profit
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.5132, 0.0779, 0.4528, 0.1003, 0.011, 0.004, 0.229, 3.016
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.5064, 0.0784, 0.4553, 0.0795, 0.011, 0.004, 0.153, 0.125
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 100, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.5177, 0.0567, 0.4602, 0.0775, 0.011, 0.005, 0.528, 8.903
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 100, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.5162, 0.0699, 0.4744, 0.0719, 0.011, 0.004, 0.184, 1.921
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.5, 0.0695, 0.425, 0.0784, 0.012, 0.004, -0.227, -0.135
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, time_join, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.5117, 0.0696, 0.4168, 0.0899, 0.011, 0.004, -0.105, 7.668
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 100, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.5001, 0.0768, 0.4034, 0.0831, 0.013, 0.006, -0.27, -0.904
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, time_join, 100, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.5154, 0.0741, 0.4234, 0.1047, 0.011, 0.004, 0.132, 6.344
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.5193, 0.0679, 0.4423, 0.0951, 0.011, 0.004, 0.212, -0.499
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, sax, time_join, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.5139, 0.0808, 0.4465, 0.0839, 0.011, 0.004, 0.261, 0.77
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 100, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.494, 0.0746, 0.4324, 0.0811, 0.012, 0.005, 0.154, 2.308
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, sax, time_join, 100, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.5247, 0.0832, 0.4595, 0.0986, 0.011, 0.004, 0.468, 5.66
 
